,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Pedestrian_movement,Cause_of_accident,Accident_severity,Time_Category
11841,Friday,Under 18,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Serious Injury,evening
11842,Monday,Unknown,Male,Elementary school,Owner,2-5yr,Automobile,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,3,1,Going straight,na,na,na,na,Not a Pedestrian,Moving Backward,Slight Injury,morning
11843,Tuesday,18-30,Male,Junior high school,Employee,1-2yr,Public (13?45 seats),Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Changing lane to the left,Slight Injury,afternoon
11844,Tuesday,Under 18,Male,Junior high school,Owner,5-10yr,Automobile,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Pedestrian,Male,5,2,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No priority to pedestrian,Slight Injury,afternoon
11845,Friday,Unknown,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,night
11846,Friday,18-30,Male,Junior high school,Employee,2-5yr,Public (12 seats),Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Gravel roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,No priority to vehicle,Slight Injury,night
11847,Friday,18-30,Male,Junior high school,Employee,5-10yr,Motorcycle,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,2,Other,Driver or rider,Male,Under 18,3,Not a Pedestrian,No distancing,Slight Injury,night
11848,Tuesday,31-50,Male,Junior high school,Employee,Above 10yr,Public (12 seats),Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,2,Moving Backward,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,night
11849,Tuesday,18-30,Male,Elementary school,Employee,2-5yr,Lorry (41?100Q),Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Not a Pedestrian,Moving Backward,Slight Injury,night
11850,Friday,31-50,Male,Elementary school,Owner,Above 10yr,Automobile,Owner,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Normal,Collision with roadside objects,1,2,Moving Backward,Driver or rider,Male,31-50,3,Not a Pedestrian,Changing lane to the right,Slight Injury,morning
11851,Monday,18-30,Male,Junior high school,Employee,1-2yr,Lorry (41?100Q),Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Normal,Collision with roadside objects,1,2,Going straight,na,na,na,na,Not a Pedestrian,No priority to pedestrian,Slight Injury,afternoon
11852,Monday,Over 51,Female,Junior high school,Employee,5-10yr,Stationwagen,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Driver or rider,Male,18-30,3,Not a Pedestrian,Moving Backward,Serious Injury,afternoon
11853,Monday,Over 51,Male,Junior high school,Employee,2-5yr,Pick up upto 10Q,Owner,Residential areas,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Male,18-30,3,Not a Pedestrian,Getting off the vehicle improperly,Serious Injury,afternoon
11854,Sunday,Over 51,Female,Junior high school,Employee,2-5yr,Automobile,Owner,School areas,Undivided Two way,Tangent road with mild grade and flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Overtaking,Slight Injury,evening
11855,Sunday,Over 51,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Residential areas,Undivided Two way,Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Overloading,Slight Injury,evening
11856,Sunday,31-50,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,evening
11857,Sunday,31-50,Male,Junior high school,Employee,Above 10yr,Other,Owner, Church areas,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Improper parking,Slight Injury,evening
11858,Sunday,31-50,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,Driver or rider,Female,5,3,Not a Pedestrian,Other,Slight Injury,evening
11859,Thursday,Unknown,Male,Elementary school,Employee,5-10yr,Public (13?45 seats),Owner,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,Changing lane to the left,Slight Injury,afternoon
11860,Thursday,31-50,Female,Junior high school,Employee,Above 10yr,Public (13?45 seats),Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,na,na,na,na,Not a Pedestrian,Changing lane to the right,Serious Injury,afternoon
11861,Friday,Under 18,Male,Elementary school,Owner,2-5yr,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Driver or rider,Female,18-30,3,Not a Pedestrian,No priority to pedestrian,Serious Injury,afternoon
11862,Friday,Over 51,Male,Junior high school,Employee,5-10yr,Public (12 seats),Owner,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,2,Moving Backward,Driver or rider,Male,18-30,3,Not a Pedestrian,Overspeed,Slight Injury,afternoon
11863,Thursday,18-30,Male,Junior high school,Employee,Below 1yr,Public (12 seats),Owner,Office areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the left,Slight Injury,morning
11864,Thursday,31-50,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,morning
11865,Monday,31-50,Male,High school,Employee,Above 10yr,Automobile,Owner,Office areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Changing lane to the right,Slight Injury,evening
11866,Monday,31-50,Male,Junior high school,Employee,5-10yr,Pick up upto 10Q,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,Pedestrian,Male,31-50,3,Not a Pedestrian,No distancing,Slight Injury,afternoon
11867,Monday,Over 51,Male,Elementary school,Employee,1-2yr,Pick up upto 10Q,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - no lighting,Raining,Collision with roadside objects,2,1,Other,Pedestrian,Male,Over 51,3,Crossing from offside - masked by  parked or statioNot a Pedestrianry vehicle,No priority to pedestrian,Slight Injury,morning
11868,Monday,Over 51,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - no lighting,Raining,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,31-50,3,"In carriageway, statioNot a Pedestrianry - not crossing  (standing or playing) - masked by parked or statioNot a Pedestrianry vehicle",No distancing,Slight Injury,morning
11869,Monday,Unknown,Male,Above high school,Employee,1-2yr,Automobile,Owner,Office areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,2,Going straight,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,morning
11870,Friday,18-30,Male,Junior high school,Employee,Above 10yr,Stationwagen,Owner,School areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,2,Going straight,Pedestrian,Male,Under 18,3,Crossing from driver's nearside,Other,Slight Injury,morning
11871,Thursday,Over 51,Male,Junior high school,Employee,1-2yr,Motorcycle,Owner,Residential areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,2,Reversing,Driver or rider,Male,31-50,3,Not a Pedestrian,Driving carelessly,Slight Injury,morning
11872,Thursday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Moving Backward,Driver or rider,Female,18-30,3,Not a Pedestrian,Changing lane to the left,Serious Injury,afternoon
11873,Thursday,Under 18,Male,Junior high school,Employee,2-5yr,Other,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Driving carelessly,Serious Injury,afternoon
11874,Wednesday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Changing lane to the left,Slight Injury,evening
11875,Wednesday,31-50,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Residential areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,Pedestrian,Male,18-30,2,Not a Pedestrian,No priority to vehicle,Slight Injury,evening
11876,Saturday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Other,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Going straight,Passenger,Female,31-50,3,Not a Pedestrian,No distancing,Slight Injury,night
11877,Wednesday,Under 18,Male,Junior high school,Employee,Above 10yr,Public (> 45 seats),Other,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,Driver or rider,Male,5,3,Not a Pedestrian,Changing lane to the right,Slight Injury,afternoon
11878,Wednesday,31-50,Male,Junior high school,Employee,1-2yr,Automobile,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Other,Driver or rider,Male,31-50,3,Not a Pedestrian,Changing lane to the right,Serious Injury,afternoon
11879,Tuesday,18-30,Male,Above high school,Owner,1-2yr,Other,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Raining,Vehicle with vehicle collision,1,1,Going straight,Pedestrian,Male,18-30,3,Crossing from driver's nearside,Driving at high speed,Slight Injury,evening
11880,Tuesday,18-30,Male,Above high school,Employee,No Licence,Automobile,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,Under 18,3,Unknown or other,No distancing,Slight Injury,evening
11881,Saturday,31-50,Male,Junior high school,Employee,1-2yr,Other,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Changing lane to the right,Slight Injury,night
11882,Monday,18-30,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Governmental,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,5,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,Changing lane to the left,Slight Injury,morning
11883,Monday,18-30,Male,Junior high school,Employee,Above 10yr,Pick up upto 10Q,Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Rollover,2,5,Going straight,Passenger,Male,18-30,3,Not a Pedestrian,Getting off the vehicle improperly,Slight Injury,morning
11884,Sunday,31-50,Female,Junior high school,Employee,Above 10yr,Public (13?45 seats),Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,5,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Other,Slight Injury,night
11885,Sunday,Unknown,Male,Junior high school,Owner,5-10yr,Automobile,Owner, Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Rollover,2,5,Going straight,na,na,na,na,Not a Pedestrian,Other,Slight Injury,night
11886,Saturday,Over 51,Male,Elementary school,Employee,2-5yr,Pick up upto 10Q,Governmental,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,5,Going straight,Driver or rider,Male,Under 18,3,Not a Pedestrian,No distancing,Slight Injury,night
11887,Thursday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,evening
11888,Wednesday,31-50,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Overtaking,Slight Injury,afternoon
11889,Tuesday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Fall from vehicles,3,1,Going straight,na,na,na,na,Not a Pedestrian,No priority to pedestrian,Slight Injury,evening
11890,Tuesday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,evening
11891,Monday,18-30,Male,Elementary school,Employee,5-10yr,Lorry (41?100Q),Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,Over 51,3,Not a Pedestrian,Changing lane to the right,Slight Injury,afternoon
11892,Wednesday,Under 18,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Governmental,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,Driving carelessly,Serious Injury,evening
11893,Wednesday,18-30,Male,Junior high school,Employee,5-10yr,Public (13?45 seats),Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,31-50,3,Not a Pedestrian,Changing lane to the right,Serious Injury,evening
11894,Tuesday,31-50,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Overtaking,Slight Injury,night
11895,Tuesday,31-50,Male,Junior high school,Employee,5-10yr,Other,Owner,Other,other,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with pedestrians,2,1,Moving Backward,na,na,na,na,Not a Pedestrian,Other,Slight Injury,night
11896,Monday,31-50,Male,Above high school,Employee,2-5yr,Other,Owner,Office areas,One way,Steep grade downward with mountainous terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Driving to the left,Slight Injury,evening
11897,Monday,18-30,Male,Junior high school,Employee,5-10yr,Other,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,Driving at high speed,Slight Injury,evening
11898,Wednesday,18-30,Male,Junior high school,Employee,1-2yr,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,Passenger,Female,18-30,3,Not a Pedestrian,Unknown,Slight Injury,night
11899,Friday,31-50,Male,Junior high school,Employee,2-5yr,Other,Organization,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,night
11900,Friday,31-50,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Turnover,Driver or rider,Male,Under 18,3,Not a Pedestrian,No distancing,Slight Injury,night
11901,Friday,18-30,Male,Junior high school,Employee,Below 1yr,Public (12 seats),Governmental,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,Other,Slight Injury,night
11902,Friday,Over 51,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Office areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Going straight,Driver or rider,Female,18-30,3,Not a Pedestrian,No priority to vehicle,Slight Injury,afternoon
11903,Wednesday,31-50,Male,Junior high school,Employee,Below 1yr,Public (12 seats),Governmental,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with roadside objects,2,3,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the left,Slight Injury,evening
11904,Wednesday,18-30,Male,High school,Employee,5-10yr,Lorry (41?100Q),Owner,Other,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Female,Over 51,3,Not a Pedestrian,No priority to pedestrian,Slight Injury,evening
11905,Saturday,18-30,Male,Above high school,Employee,1-2yr,Other,Owner, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,Under 18,3,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Overtaking,Slight Injury,morning
11906,Saturday,Over 51,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining and Windy,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,Driving carelessly,Slight Injury,morning
11907,Saturday,Over 51,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Residential areas,Undivided Two way,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Going straight,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,morning
11908,Thursday,Over 51,Male,High school,Employee,Below 1yr,Public (> 45 seats),Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Going straight,Driver or rider,Female,18-30,3,Not a Pedestrian,No priority to pedestrian,Slight Injury,morning
11909,Thursday,18-30,Male,High school,Employee,Below 1yr,Lorry (41?100Q),Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with pedestrians,3,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,morning
11910,Wednesday,18-30,Male,Junior high school,Employee,5-10yr,Other,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,3,1,Turnover,Driver or rider,Male,18-30,2,Not a Pedestrian,Driving carelessly,Slight Injury,evening
11911,Wednesday,18-30,Male,High school,Employee,2-5yr,Other,Owner, Outside rural areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,3,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,evening
11912,Wednesday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Owner, Church areas,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Reversing,Pedestrian,Male,31-50,3,Unknown or other,Changing lane to the right,Slight Injury,evening
11913,Friday,31-50,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,Office areas,other,Tangent road with mountainous terrain and,Other,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Other,na,na,na,na,Not a Pedestrian,Changing lane to the left,Slight Injury,evening
11914,Monday,18-30,Male,Junior high school,Employee,5-10yr,Pick up upto 10Q,Owner, Church areas,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,Other,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,1,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Overturning,Slight Injury,morning
11915,Monday,Over 51,Male,Junior high school,Employee,1-2yr,Automobile,Owner,Office areas,other,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Pedestrian,Male,Over 51,2,Unknown or other,Driving carelessly,Slight Injury,morning
11916,Monday,31-50,Male,Unknown,Employee,Below 1yr,Automobile,Governmental,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Turnover,Driver or rider,Male,31-50,3,Not a Pedestrian,No distancing,Slight Injury,morning
11917,Monday,31-50,Female,Junior high school,Employee,Below 1yr,Other,Owner,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Other,na,na,na,na,Not a Pedestrian,Driving carelessly,Slight Injury,morning
11918,Friday,18-30,Male,High school,Employee,2-5yr,Automobile,Owner,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with roadside objects,2,5,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the left,Slight Injury,evening
11919,Saturday,18-30,Male,Junior high school,Owner,1-2yr,Stationwagen,Owner,Office areas,other,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,5,Going straight,Driver or rider,Male,5,3,Not a Pedestrian,No priority to vehicle,Slight Injury,evening
11920,Saturday,18-30,Male,Junior high school,Employee,5-10yr,Other,Owner,Rural village areasOffice areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with roadside objects,2,5,Other,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,evening
11921,Saturday,Over 51,Male,Elementary school,Employee,2-5yr,Automobile,Owner,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,5,Going straight,Driver or rider,Male,31-50,2,Not a Pedestrian,No distancing,Slight Injury,evening
11922,Wednesday,18-30,Male,Elementary school,Owner,5-10yr,Ridden horse,Owner,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,5,Turnover,Driver or rider,Male,18-30,3,Not a Pedestrian,Moving Backward,Slight Injury,evening
11923,Monday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with roadside objects,2,1,Going straight,na,na,na,na,Not a Pedestrian,Moving Backward,Slight Injury,evening
11924,Monday,31-50,Male,Junior high school,Employee,5-10yr,Other,Owner,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Turnover,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,evening
